Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,About,URL Pic,URL Trailer
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.62,0.85,0.01,0.13,1.61,91,91,7.4,619,E,"You’re in charge of the Horizon Festival. Customize everything, hire and fire your friends, and explore Australia in over 350 of the world’s greatest cars. Make your Horizon the ultimate celebration of cars, music, and freedom of the open road. How you get there is up to you.",http://news.xbox.com/wp-content/uploads/Forza-Horizon-3_KeyArt_584x800_Logo.jpg,https://www.youtube.com/watch?v=fTSUgXkfooA
Overwatch,XOne,2016,Shooter,Activision,0.81,0.4,0,0.12,1.33,91,18,5.6,685,T,"In a time of global crisis, an international task force of heroes banded together to restore peace to a war-torn world. This organization, known as Overwatch, ended the crisis and helped maintain peace for a generation, inspiring an era of exploration, innovation, and discovery. After many years, Overwatch's influence waned and it was eventually disbanded. Now in the wake of its dismantling, conflict is rising once again. Overwatch may be gone... but the world still needs heroes.",http://compass.xbox.com/assets/03/a8/03a88669-6710-4602-9914-27de084dd819.png?n=Overwatch_boxshot-retailer-X1_200x260.png,https://www.youtube.com/watch?v=pYC44YPb_5k
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,1.1,0.06,0,0.14,1.3,90,17,6,98,E,"NBA 2K17 is a basketball simulation video game developed by Visual Concepts and published by 2K Sports. It is the 18th installment in the NBA 2K franchise and the successor to NBA 2K16. It was released worldwide on September 20, 2016, for Microsoft Windows, PlayStation 4, PlayStation 3, Xbox One, and Xbox 360. Players who pre-ordered the game received it on September 16, 2016.[2] Paul George of the Indiana Pacers is the cover athlete for the regular edition of the game,[3][4] while Kobe Bryant is the cover athlete for the 'Legend Edition'.[5] In Italy, the cover athlete is Danilo Gallinari,[6] and in Spain, the cover athlete is Pau Gasol.[7] A version of the game for iOS and Android was released on September 23, 2016.[8]",http://s.pacn.ws/640/q3/nba-2k17-legend-edition-english-469691.1.jpg?o5m5hg,https://www.youtube.com/watch?v=aF_l6FDOSZQ
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.45,0.49,0.11,0.19,1.23,79,60,8.3,208,T,"The latest opus in the acclaimed STORM series is taking you on a colourful and breathtaking ride. Take advantage of the totally revamped battle system and prepare to dive into the most epic fights you’ve ever seen in the NARUTO SHIPPUDEN: Ultimate Ninja STORM series!

Prepare for the most awaited STORM game ever created!
",http://gameidealist.com/wp-content/uploads/Naruto-Shippuden-Ultimate-Ninja-Storm-4-updated-box-art-ps4.jpg,https://www.youtube.com/watch?v=JAYstN5eqE8
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.56,0.32,0.18,0.09,1.13,76,74,8,276,E10+,"GAME DETAILS
Battle Pokémon like never before in all-new, action-packed arena fights! Perform vivid Pokémon moves in all their glory with button combinations through an intuitive fighting system to unleash devastating attacks upon your opponent to become the Pokkén Tournament champion!

Learn various fighting styles of Pokémon such as Pikachu, Charizard, Lucario, and more. Any fan will be able to learn and execute signature Pokémon moves with a press of a button. Turn the tide of battle by calling upon support Pokémon to assist, and unleash devastating attacks to KO your opponent. Battles await, and it’s up to you to claim the title of Pokkén Tournament champion!",https://sickr.files.wordpress.com/2015/12/pokken_tournament_small_box_art.png?w=760,https://www.youtube.com/watch?v=Mb9Tj5oiWi4
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.41,0.51,0.01,0.18,1.1,88,62,7.7,629,M,"Reprise your role as a supernatural assassin in Dishonored 2. 
Praised by PC Gamer as “brilliant”, IGN as “amazing” and “a super sequel, IGN as “amazing” and “a superb sequel”, declared a “masterpiece” by Eurogamer, and hailed “a must-play revenge tale among the best in its class” by Game Informer, Dishonored 2 is the follow up to Arkane Studio's first-person action blockbuster and winner of more than 100 'Game of the Year' awards, Dishonored. 

Play your way in a world where mysticism and industry collide. Will you choose to play as Empress Emily Kaldwin or the royal protector, Corvo Attano? Will you make your way through the game unseen, make full use of its brutal combat system, or use a blend of both? How will you combine your character's unique set of powers, weapons and gadgets to eliminate your enemies? The story responds to your choices, leading to intriguing outcomes, as you play through each of the game's hand-crafted missions.",https://images-na.ssl-images-amazon.com/images/I/81YLBuNwjJL._SL1500_.jpg,https://www.youtube.com/watch?v=hiutOCmk97E
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.59,0.32,0.09,0.09,1.09,86,74,8.4,340,T,"A dark force, shrouded in twilight, has invaded the vast land of Hyrule. To restore light to the world, team up with the mysterious creature Midna and embrace the darkness to transform into a divine wolf. Fight through labyrinthine dungeons, survive puzzling traps and meet a cast of characters you’ll never forget in this legendary Zelda™ adventure.

The Legend of Zelda™: Twilight Princess is a critically acclaimed masterpiece, set in a massive world bursting with life—but also shadow. A dark figure from the Twilight Realm has invaded the world of light. As Link™, a farmhand turned cursed beast, join forces with the impish Midna and trusted (albeit unusual) allies to survive a quest that'll take you to the farthest corners of Hyrule and beyond… to the Twilight Realm. This emotional adventure is now on the Wii U™ console with improved visuals and controls—and new challenges. Choose Hero Mode to take 2x normal damage, or tap the Wolf Link amiibo™ figure to unlock the tough Cave of Shadows.",https://jsicktheslick.files.wordpress.com/2016/03/the-legend-of-zelda-twilight-princess-hd-cover.jpg,https://www.youtube.com/watch?v=pBIo8gTrWl4
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.46,0.38,0.05,0.17,1.06,89,61,8.4,769,M,"Jack Cooper, a class three rifleman in the Militia, aspires to one day become a Titan Pilot for the Militia, and is receiving off-the-books training from Captain Tai Lastimosa in preparation for Cooper's candidacy. ",http://www.metalbridges.com/wp-content/uploads/2016/11/titanfall-2-cover-ps4.jpg,https://www.youtube.com/watch?v=00wFXKzVYfE 
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.3,0.18,0.5,0.05,1.03,81,71,8.7,92,E,"Harness the power of a mysterious mech to stop ruthless invaders from mechanizing Kirby's home world. Smash through tough obstacles, lift heavy objects with ease, and scan enemies to shape-shift into new Modes with powerful abilities in this supercharged action-platformer!

That's right—Kirby's Robobot Armor can shape-shift into different modes by scanning enemies to copy their moves—like the new Jet Mode. Not to mention, Kirby™ can copy abilities the old-fashioned way too—by inhaling them! After saving the world, team up with three friends to defeat foes in Team Kirby Clash, an RPG-styled 4-player brawl where you choose from varied roles and level them up.
",https://i5.walmartimages.com/asr/83053ccd-acb1-465c-8437-cc7b1b4c2c26_1.c9109987685eabb436fc408983eda752.jpeg,https://www.youtube.com/watch?v=ziF2FtsXUOU
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.32,0.51,0,0.16,0.99,79,38,6.1,161,T,"EA SPORTS™ UFC® 2 innovates with stunning character likeness and animation, adds an all new Knockout Physics System and authentic gameplay features, and invites all fighters to step back into the Octagon™ to experience the thrill of finishing the fight. From the walkout to the knockout, EA SPORTS UFC 2 delivers a deep, authentic, and exciting experience.",https://media.playstation.com/is/image/SCEA/ea-sports-ufc-2-two-column-02-ps4-us-14mar16?$TwoColumn_Image$,https://www.youtube.com/watch?v=m97UWd2QuAI
